timestamp,raw_value,attention,label
1645683135.166742,20,30,0
1645683135.168179,12,30,0
1645683135.169446,19,30,0
1645683135.171946,27,30,0
1645683135.1738188,39,30,0
1645683135.176757,43,30,0
1645683135.176811,50,30,0
1645683135.179216,58,30,0
1645683135.180427,58,30,0
1645683135.184227,45,30,0
1645683135.1854742,41,30,0
1645683135.187062,45,30,0
1645683135.1895502,52,30,0
1645683135.190475,57,30,0
1645683135.192954,55,30,0
1645683135.195489,45,30,0
1645683135.1976562,51,30,0
1645683135.2043588,52,30,0
1645683135.210217,50,30,0
1645683135.2103648,69,30,0
1645683135.21083,82,30,0
1645683135.2662342,75,30,0
1645683135.293043,66,30,0
1645683135.293113,65,30,0
1645683135.293151,82,30,0
1645683135.313727,102,30,0
1645683135.3144379,100,30,0
1645683135.314475,81,30,0
1645683135.3145669,75,30,0
1645683135.314601,80,30,0
1645683135.314836,72,30,0
1645683135.3148968,61,30,0
1645683135.314938,67,30,0
1645683135.315539,82,30,0
1645683135.316109,82,30,0
1645683135.3169038,74,30,0
1645683135.316999,68,30,0
1645683135.317034,65,30,0
1645683135.317415,60,30,0
1645683135.317708,53,30,0
1645683135.31779,41,30,0
1645683135.317847,42,30,0
1645683135.317882,53,30,0
1645683135.3179588,50,30,0
1645683135.318709,50,30,0
1645683135.31876,70,30,0
1645683135.318793,81,30,0
1645683135.318835,66,30,0
1645683135.319189,53,30,0
1645683135.319443,60,30,0
1645683135.319711,72,30,0
1645683135.319751,70,30,0
1645683135.319783,51,30,0
1645683135.319819,49,30,0
1645683135.320268,56,30,0
1645683135.32032,53,30,0
1645683135.3206432,42,30,0
1645683135.3242052,42,30,0
1645683135.32424,57,30,0
1645683135.3242712,72,30,0
1645683135.324301,69,30,0
1645683135.324331,54,30,0
1645683135.32436,45,30,0
1645683135.3243892,42,30,0
1645683135.324418,42,30,0
1645683135.32445,53,30,0
1645683135.3244789,64,30,0
1645683135.324508,70,30,0
1645683135.324537,66,30,0
1645683135.3245661,53,30,0
1645683135.324595,53,30,0
1645683135.324672,66,30,0
1645683135.3247051,75,30,0
1645683135.3247428,61,30,0
1645683135.324773,37,30,0
1645683135.324807,29,30,0
1645683135.3248372,42,30,0
1645683135.324893,43,30,0
1645683135.3254552,49,30,0
1645683135.326732,58,30,0
1645683135.327952,55,30,0
1645683135.331906,42,30,0
1645683135.331962,33,30,0
1645683135.332012,38,30,0
1645683135.332981,41,30,0
1645683135.366907,28,30,0
1645683135.368026,10,30,0
1645683135.36934,17,30,0
1645683135.370485,28,30,0
1645683135.3753521,33,30,0
1645683135.3753989,32,30,0
1645683135.375453,42,30,0
1645683135.375689,60,30,0
1645683135.37586,64,30,0
1645683135.375895,44,30,0
1645683135.375925,36,30,0
1645683135.375954,52,30,0
1645683135.375983,64,30,0
1645683135.376011,51,30,0
1645683135.37604,34,30,0
1645683135.376069,24,30,0
1645683135.3760982,29,30,0
1645683135.376127,24,30,0
1645683135.3761559,10,30,0
1645683135.376205,29,30,0
1645683135.376341,59,30,0
1645683135.377931,65,30,0
1645683135.379217,48,30,0
1645683135.380455,26,30,0
1645683135.381841,24,30,0
1645683135.381873,37,30,0
1645683135.386729,44,30,0
1645683135.4205482,49,30,0
1645683135.42174,55,30,0
