Time,Block,Action,Score,Block Count,systemtime
0,Z,768,0,0,18:54:07.593347
28338,L,768,0,1,18:54:09.307833
28587,L,768,0,1,18:54:09.557156
28793,L,768,0,1,18:54:09.762807
28975,L,768,0,1,18:54:09.945214
29999,J,768,0,2,18:54:10.969133
30329,J,768,0,2,18:54:11.298869
30730,J,768,0,2,18:54:11.700401
31465,J,768,0,2,18:54:12.435239
31640,J,768,0,2,18:54:12.610379
31818,J,768,0,2,18:54:12.788276
31964,J,768,0,2,18:54:12.933585
32236,J,768,0,2,18:54:13.206272
32529,S,768,0,3,18:54:13.498967
32843,S,768,0,3,18:54:13.813357
33205,S,768,0,3,18:54:14.175107
34566,S,768,0,3,18:54:15.536444
35116,Z,768,0,4,18:54:16.086512
36139,Z,768,0,4,18:54:17.109335
36956,Z,768,0,4,18:54:17.925995
37305,Z,768,0,4,18:54:18.275102
37616,Z,768,0,4,18:54:18.586510
38285,Z,768,0,4,18:54:19.254883
38387,Z,771,10,5,18:54:19.357399
39075,O,768,0,5,18:54:20.045588
39936,O,768,0,5,18:54:20.905701
40771,O,768,0,5,18:54:21.741052
41317,J,768,0,6,18:54:22.287256
41810,J,768,0,6,18:54:22.780034
42672,J,768,0,6,18:54:23.642382
42990,J,768,0,6,18:54:23.960239
43250,J,768,0,6,18:54:24.220402
43421,J,768,0,6,18:54:24.391693
43603,J,768,0,6,18:54:24.573517
43786,J,768,0,6,18:54:24.756241
44246,J,768,0,6,18:54:25.216789
44647,L,768,0,7,18:54:25.617260
45143,L,768,0,7,18:54:26.113837
45551,L,768,0,7,18:54:26.521803
45738,L,768,0,7,18:54:26.707908
45994,L,768,0,7,18:54:26.964347
46533,L,768,0,7,18:54:27.503291
46769,Z,769,10,8,18:54:27.739671
47245,S,768,0,8,18:54:28.215078
47523,S,768,0,8,18:54:28.493741
47817,S,768,0,8,18:54:28.787577
48024,S,768,0,8,18:54:28.994112
48659,S,768,0,8,18:54:29.629102
48804,S,768,0,8,18:54:29.774625
49003,S,768,0,8,18:54:29.973032
49137,S,768,0,8,18:54:30.107870
49473,S,768,0,8,18:54:30.443579
49825,L,768,0,9,18:54:30.795660
50286,L,768,0,9,18:54:31.256909
50573,L,768,0,9,18:54:31.543529
50768,L,768,0,9,18:54:31.738518
51070,L,768,0,9,18:54:32.040887
51262,L,768,0,9,18:54:32.232759
51582,L,768,0,9,18:54:32.552905
51696,Z,771,10,10,18:54:32.666183
52154,I,768,0,10,18:54:33.124423
52670,I,768,0,10,18:54:33.640286
53277,I,768,0,10,18:54:34.247138
53613,I,768,0,10,18:54:34.583422
54004,I,768,0,10,18:54:34.974864
54657,S,768,0,11,18:54:35.627676
54925,S,768,0,11,18:54:35.895162
55186,S,768,0,11,18:54:36.156924
55645,S,768,0,11,18:54:36.615751
56094,S,768,0,11,18:54:37.064388
56264,S,769,10,12,18:54:37.234847
56931,S,768,0,12,18:54:37.901463
57690,S,768,0,12,18:54:38.660409
57940,S,768,0,12,18:54:38.911170
58327,S,768,0,12,18:54:39.297770
58552,S,768,0,12,18:54:39.522933
58870,S,768,0,12,18:54:39.840605
59377,S,768,0,12,18:54:40.348003
60017,I,768,0,13,18:54:40.988012
