Time,Block,Action,Score,Block Count,systemtime
0,T,768,0,0,15:46:37.842761
26042,O,768,0,1,15:46:38.397907
26221,O,768,0,1,15:46:38.576224
26361,O,768,0,1,15:46:38.717029
26502,O,768,0,1,15:46:38.858077
26711,O,768,0,1,15:46:39.066694
27595,L,768,0,2,15:46:39.950724
27963,L,768,0,2,15:46:40.318225
28894,S,768,0,3,15:46:41.249841
29375,S,768,0,3,15:46:41.730562
29966,S,768,0,4,15:46:42.321201
30133,S,768,0,4,15:46:42.488761
30280,S,768,0,4,15:46:42.635245
30560,S,768,0,4,15:46:42.916170
30742,S,768,0,4,15:46:43.097850
30878,S,768,0,4,15:46:43.233769
31249,S,768,0,4,15:46:43.604890
31656,S,768,0,4,15:46:44.011913
32033,I,768,0,5,15:46:44.389017
32174,I,768,0,5,15:46:44.529598
32320,I,768,0,5,15:46:44.675690
32463,I,768,0,5,15:46:44.818279
32598,I,768,0,5,15:46:44.954250
32697,I,768,0,5,15:46:45.052549
32932,Z,768,0,6,15:46:45.287353
33095,Z,768,0,6,15:46:45.450712
33278,Z,768,0,6,15:46:45.633349
33740,Z,768,0,6,15:46:46.096039
34115,Z,768,0,6,15:46:46.470755
34416,Z,768,0,6,15:46:46.772316
34721,Z,768,0,6,15:46:47.076950
35139,J,768,0,7,15:46:47.495270
35277,J,768,0,7,15:46:47.633049
36042,J,768,0,7,15:46:48.397389
36743,I,768,0,8,15:46:49.098755
37138,I,768,0,8,15:46:49.493650
37268,I,768,0,8,15:46:49.624178
37420,I,768,0,8,15:46:49.775932
37700,I,768,0,8,15:46:50.055500
38044,O,768,0,9,15:46:50.400203
38202,O,768,0,9,15:46:50.557795
38369,O,768,0,9,15:46:50.725358
38511,O,768,0,9,15:46:50.867233
38647,O,768,0,9,15:46:51.002909
38987,O,768,0,9,15:46:51.343051
39434,I,768,0,10,15:46:51.789517
39585,I,768,0,10,15:46:51.941408
39723,I,768,0,10,15:46:52.079478
39864,I,768,0,10,15:46:52.220389
40012,I,768,0,10,15:46:52.368045
40149,I,768,0,10,15:46:52.504764
40276,I,768,0,10,15:46:52.631772
40312,O,771,10,11,15:46:52.668512
40313,Z,771,20,11,15:46:52.668548
40809,O,768,0,11,15:46:53.165168
40999,O,768,0,11,15:46:53.354787
41424,O,768,0,11,15:46:53.779598
41569,O,768,0,11,15:46:53.925333
41730,O,768,0,11,15:46:54.085947
41876,O,768,0,11,15:46:54.231851
42861,O,768,0,12,15:46:55.217003
43299,O,768,0,12,15:46:55.654770
