Time,Block,Action,Score,Block Count,systemtime
0,T,768,0,0,14:08:57.877909
16039,O,768,0,1,14:08:58.962704
16182,O,768,0,1,14:08:59.105926
16344,O,768,0,1,14:08:59.267953
16505,O,768,0,1,14:08:59.429452
16826,O,768,0,1,14:08:59.750189
17782,L,768,0,2,14:09:00.705750
19136,L,768,0,2,14:09:02.060257
19362,L,768,0,2,14:09:02.286532
19722,L,768,0,2,14:09:02.645865
20050,L,768,0,2,14:09:02.974486
22071,S,768,0,3,14:09:04.995624
22340,S,768,0,3,14:09:05.263900
22859,S,768,0,3,14:09:05.782867
23168,S,768,0,3,14:09:06.092243
24810,S,768,0,4,14:09:07.734697
24974,S,768,0,4,14:09:07.898178
25132,S,768,0,4,14:09:08.056595
25347,S,768,0,4,14:09:08.271093
25573,S,768,0,4,14:09:08.497176
26860,I,768,0,5,14:09:09.784341
27238,I,768,0,5,14:09:10.162806
27432,I,768,0,5,14:09:10.356169
27646,I,768,0,5,14:09:10.570288
29126,I,768,0,5,14:09:12.050756
29915,Z,768,0,6,14:09:12.839155
31056,Z,768,0,6,14:09:13.980317
31412,Z,768,0,6,14:09:14.336555
31584,O,769,10,7,14:09:14.508916
31983,J,768,0,7,14:09:14.907882
32173,J,768,0,7,14:09:15.097684
32676,J,768,0,7,14:09:15.600892
33060,J,768,0,7,14:09:15.984641
33207,J,768,0,7,14:09:16.132163
33664,J,768,0,7,14:09:16.588946
33889,J,768,0,7,14:09:16.813256
34208,J,768,0,7,14:09:17.133008
34354,O,769,10,8,14:09:17.278369
34944,I,768,0,8,14:09:17.869187
35167,I,768,0,8,14:09:18.091888
35360,I,768,0,8,14:09:18.284636
35568,I,768,0,8,14:09:18.492667
35787,I,768,0,8,14:09:18.711645
36310,I,768,0,9,14:09:19.234518
36524,I,768,0,9,14:09:19.449250
36895,I,768,0,9,14:09:19.820029
37178,I,768,0,9,14:09:20.102939
37759,O,768,0,10,14:09:20.683611
38103,O,768,0,10,14:09:21.027981
38599,O,768,0,10,14:09:21.523798
38811,S,769,10,11,14:09:21.736092
39399,O,768,0,11,14:09:22.323408
39776,O,768,0,11,14:09:22.700706
40115,O,768,0,11,14:09:23.039938
40599,Z,768,0,12,14:09:23.523826
40792,Z,768,0,12,14:09:23.716662
41577,Z,768,0,12,14:09:24.501893
42079,Z,768,0,13,14:09:25.003548
42286,Z,768,0,13,14:09:25.210786
42618,Z,768,0,13,14:09:25.542805
42789,Z,768,0,13,14:09:25.714462
43680,Z,768,0,13,14:09:26.604686
44044,Z,768,0,13,14:09:26.968961
45062,Z,768,0,13,14:09:27.986982
45592,L,768,0,14,14:09:28.517540
45858,L,768,0,14,14:09:28.782692
46151,L,768,0,14,14:09:29.076098
46490,L,768,0,14,14:09:29.414645
46657,L,768,0,14,14:09:29.582419
46831,L,768,0,14,14:09:29.756549
47097,L,768,0,14,14:09:30.022021
47197,J,771,10,15,14:09:30.122069
48130,Z,768,0,15,14:09:31.055365
48410,Z,768,0,15,14:09:31.335441
48776,Z,768,0,15,14:09:31.701163
48822,T,771,10,16,14:09:31.747327
50056,S,768,0,16,14:09:32.981452
50390,S,768,0,16,14:09:33.315353
51398,S,768,0,16,14:09:34.322989
51914,S,768,0,16,14:09:34.838854
52309,S,768,0,16,14:09:35.234400
52735,S,768,0,16,14:09:35.660083
54964,T,768,0,17,14:09:37.889465
55389,T,768,0,17,14:09:38.313927
57125,J,768,0,18,14:09:40.050163
57325,J,768,0,18,14:09:40.250202
57652,J,768,0,18,14:09:40.577735
57952,J,768,0,18,14:09:40.877844
58323,J,768,0,18,14:09:41.248900
58505,J,768,0,18,14:09:41.430801
58632,J,768,0,18,14:09:41.557183
58986,J,768,0,18,14:09:41.911352
60622,J,768,0,19,14:09:43.547433
60795,J,768,0,19,14:09:43.720184
61113,J,768,0,19,14:09:44.038649
61270,J,768,0,19,14:09:44.195806
61436,J,768,0,19,14:09:44.362004
61605,J,768,0,19,14:09:44.530213
61862,J,768,0,19,14:09:44.787272
63379,S,768,0,20,14:09:46.304935
63634,S,768,0,20,14:09:46.560067
63821,S,768,0,20,14:09:46.747068
63978,S,768,0,20,14:09:46.903756
64141,S,768,0,20,14:09:47.067071
64507,S,768,0,20,14:09:47.432174
64891,I,768,0,21,14:09:47.816805
65102,I,768,0,21,14:09:48.027690
65573,I,768,0,21,14:09:48.498726
66307,I,768,0,22,14:09:49.232250
66679,I,768,0,22,14:09:49.604296
66884,I,768,0,22,14:09:49.809874
68198,I,768,0,22,14:09:51.123851
68798,T,768,0,23,14:09:51.723756
68928,T,768,0,23,14:09:51.854097
69697,T,768,0,23,14:09:52.622571
69926,T,768,0,23,14:09:52.851574
70167,T,768,0,23,14:09:53.092905
70516,T,768,0,23,14:09:53.441902
71332,O,768,0,24,14:09:54.258243
71853,O,768,0,24,14:09:54.778747
72473,O,768,0,25,14:09:55.398979
72786,O,768,0,25,14:09:55.711934
73466,O,768,0,26,14:09:56.392025
73676,O,768,0,26,14:09:56.602280
73884,O,768,0,26,14:09:56.810379
74079,END,999,0,26,14:09:57.004695
