timestamp,raw_value,attention,label,systemtime
1646881015.465517,8,53,0,18:56:55.465535
1646881015.466764,6,53,0,18:56:55.466767
1646881015.466827,2,53,0,18:56:55.466828
1646881015.46695,27,53,0,18:56:55.466952
1646881015.500996,67,53,0,18:56:55.501001
1646881015.501647,57,53,0,18:56:55.501649
1646881015.501942,1,53,0,18:56:55.501945
1646881015.502056,-22,53,0,18:56:55.502058
1646881015.502323,7,53,0,18:56:55.502325
1646881015.5025501,20,53,0,18:56:55.502552
1646881015.502956,26,53,0,18:56:55.502958
1646881015.5030599,10,53,0,18:56:55.503062
1646881015.5333629,-26,53,0,18:56:55.533367
1646881015.575063,-19,53,0,18:56:55.575067
1646881015.593704,7,53,0,18:56:55.593708
1646881015.599339,32,53,0,18:56:55.599341
1646881015.59938,39,53,0,18:56:55.599381
1646881015.599499,22,53,0,18:56:55.599504
1646881015.59955,22,53,0,18:56:55.599551
1646881015.601779,49,53,0,18:56:55.601781
1646881015.60183,56,53,0,18:56:55.601831
1646881015.602643,24,53,0,18:56:55.602645
1646881015.603842,-13,53,0,18:56:55.603844
1646881015.6041112,-20,53,0,18:56:55.604112
1646881015.6045399,-30,53,0,18:56:55.604542
1646881015.6047082,-36,53,0,18:56:55.604710
1646881015.604935,-6,53,0,18:56:55.604936
1646881015.604973,9,53,0,18:56:55.604974
1646881015.605582,-12,53,0,18:56:55.605584
1646881015.606493,-54,53,0,18:56:55.606495
1646881015.606543,-66,53,0,18:56:55.606544
1646881015.6069472,-51,53,0,18:56:55.606948
1646881015.607699,-14,53,0,18:56:55.607701
1646881015.6077561,8,53,0,18:56:55.607757
1646881015.6077912,26,53,0,18:56:55.607792
1646881015.6086981,18,53,0,18:56:55.608700
1646881015.608971,24,53,0,18:56:55.608973
1646881015.609008,76,53,0,18:56:55.609009
1646881015.609157,104,53,0,18:56:55.609158
1646881015.6091928,88,53,0,18:56:55.609194
1646881015.609605,70,53,0,18:56:55.609608
1646881015.609643,74,53,0,18:56:55.609644
1646881015.609674,102,53,0,18:56:55.609675
1646881015.6097221,122,53,0,18:56:55.609723
1646881015.61016,90,53,0,18:56:55.610161
1646881015.610671,38,53,0,18:56:55.610672
1646881015.611109,51,53,0,18:56:55.611110
1646881015.611457,109,53,0,18:56:55.611458
1646881015.611496,129,53,0,18:56:55.611497
1646881015.611562,101,53,0,18:56:55.611563
1646881015.611967,58,53,0,18:56:55.611969
1646881015.612003,17,53,0,18:56:55.612004
1646881015.6121652,12,53,0,18:56:55.612171
1646881015.612268,28,53,0,18:56:55.612268
1646881015.612299,32,53,0,18:56:55.612300
1646881015.61233,45,53,0,18:56:55.612331
1646881015.61236,67,53,0,18:56:55.612361
1646881015.6123898,106,53,0,18:56:55.612391
1646881015.61242,170,53,0,18:56:55.612421
1646881015.612451,155,53,0,18:56:55.612452
1646881015.612481,57,53,0,18:56:55.612482
1646881015.612512,9,53,0,18:56:55.612512
1646881015.612542,9,53,0,18:56:55.612543
1646881015.612572,1,53,0,18:56:55.612573
1646881015.612604,-9,53,0,18:56:55.612606
1646881015.612637,-10,53,0,18:56:55.612637
1646881015.6126668,8,53,0,18:56:55.612668
1646881015.6126971,27,53,0,18:56:55.612698
1646881015.612727,19,53,0,18:56:55.612728
1646881015.6128051,21,53,0,18:56:55.612807
1646881015.612863,36,53,0,18:56:55.612864
1646881015.612915,49,53,0,18:56:55.612916
1646881015.612965,64,53,0,18:56:55.612966
1646881015.613017,57,53,0,18:56:55.613018
1646881015.614162,4,53,0,18:56:55.614164
1646881015.6175702,-55,53,0,18:56:55.617574
1646881015.617614,-82,53,0,18:56:55.617624
1646881015.6176581,-45,53,0,18:56:55.617658
1646881015.6177301,16,53,0,18:56:55.617732
1646881015.617771,2,53,0,18:56:55.617771
1646881015.617811,-43,53,0,18:56:55.617813
1646881015.6178591,-58,53,0,18:56:55.617860
1646881015.6179352,-29,53,0,18:56:55.617936
1646881015.61797,35,53,0,18:56:55.617971
1646881015.618005,96,53,0,18:56:55.618005
1646881015.618038,103,53,0,18:56:55.618039
1646881015.6180701,71,53,0,18:56:55.618071
1646881015.6192179,21,53,0,18:56:55.619220
1646881015.6204538,0,53,0,18:56:55.620465
1646881015.622977,19,53,0,18:56:55.622981
1646881015.624193,59,53,0,18:56:55.624196
1646881015.6253839,72,53,0,18:56:55.625387
1646881015.651724,41,53,0,18:56:55.651737
1646881015.654227,20,53,0,18:56:55.654232
1646881015.657742,18,53,0,18:56:55.657746
1646881015.657828,23,53,0,18:56:55.657830
1646881015.6579509,50,53,0,18:56:55.657952
1646881015.65808,81,53,0,18:56:55.658082
1646881015.658124,96,53,0,18:56:55.658125
1646881015.658157,84,53,0,18:56:55.658158
