Time,Block,Action,Score,Block Count,systemtime
0,Z,768,0,0,19:18:46.254706
25900,L,768,0,1,19:18:46.948615
26284,L,768,0,1,19:18:47.332353
26533,L,768,0,1,19:18:47.581897
26682,L,768,0,1,19:18:47.730244
26810,L,768,0,1,19:18:47.858773
26954,L,768,0,1,19:18:48.002043
27124,L,768,0,1,19:18:48.172113
27330,L,768,0,1,19:18:48.378508
27575,L,768,0,1,19:18:48.623603
27861,J,768,0,2,19:18:48.909361
28143,J,768,0,2,19:18:49.191462
28619,J,768,0,2,19:18:49.667301
29224,J,768,0,2,19:18:50.272504
29526,S,768,0,3,19:18:50.574429
29721,S,768,0,3,19:18:50.769900
30284,S,768,0,3,19:18:51.332117
30544,S,768,0,3,19:18:51.592347
30746,S,768,0,3,19:18:51.795048
31065,Z,768,0,4,19:18:52.113643
31256,Z,768,0,4,19:18:52.304610
31635,Z,768,0,4,19:18:52.683327
32309,Z,768,0,4,19:18:53.357578
32851,O,768,0,5,19:18:53.900015
33582,O,768,0,5,19:18:54.630715
34311,O,768,0,5,19:18:55.359416
34654,O,768,0,5,19:18:55.702655
34889,J,768,0,6,19:18:55.938184
35118,J,768,0,6,19:18:56.166605
35554,J,768,0,6,19:18:56.603195
35745,J,768,0,6,19:18:56.793988
35881,J,768,0,6,19:18:56.930235
36012,J,768,0,6,19:18:57.060797
36445,J,768,0,6,19:18:57.494008
36725,Z,768,0,7,19:18:57.773583
36989,Z,768,0,7,19:18:58.037580
37418,Z,768,0,7,19:18:58.466882
37877,Z,768,0,7,19:18:58.925418
38557,L,768,0,8,19:18:59.606103
38784,L,768,0,8,19:18:59.833290
38959,L,768,0,8,19:19:00.007889
39297,L,768,0,8,19:19:00.345621
39493,L,768,0,8,19:19:00.541991
39668,L,768,0,8,19:19:00.716722
39917,L,768,0,8,19:19:00.965570
40332,S,768,0,9,19:19:01.380934
40820,S,768,0,9,19:19:01.868766
41089,S,768,0,9,19:19:02.137577
41622,S,768,0,9,19:19:02.671144
42792,L,768,0,10,19:19:03.840690
43081,L,768,0,10,19:19:04.130323
43240,L,768,0,10,19:19:04.288616
43400,L,768,0,10,19:19:04.448580
43637,L,768,0,10,19:19:04.686157
43780,L,768,0,10,19:19:04.828644
43941,L,768,0,10,19:19:04.990460
44080,L,768,0,10,19:19:05.129496
45182,L,768,0,10,19:19:06.231455
46456,Z,768,0,11,19:19:07.505179
46805,Z,768,0,11,19:19:07.854590
47135,I,768,0,12,19:19:08.183845
47361,I,768,0,12,19:19:08.410219
48226,I,768,0,12,19:19:09.274942
48738,I,768,0,12,19:19:09.786830
48897,I,768,0,12,19:19:09.946561
49012,I,768,0,12,19:19:10.061459
49141,I,768,0,12,19:19:10.190162
49285,I,768,0,12,19:19:10.334472
49328,S,771,10,13,19:19:10.376921
49328,I,771,20,13,19:19:10.376956
49328,S,771,30,13,19:19:10.376986
49776,S,768,0,13,19:19:10.825325
50177,S,768,0,13,19:19:11.226348
50510,S,768,0,13,19:19:11.558762
51730,S,768,0,13,19:19:12.779311
51751,J,771,10,14,19:19:12.800408
52809,Z,768,0,14,19:19:13.857826
52996,Z,768,0,14,19:19:14.045655
54244,Z,768,0,14,19:19:15.293440
54621,T,768,0,15,19:19:15.670048
55231,T,768,0,15,19:19:16.280321
55526,T,768,0,15,19:19:16.575012
55739,T,768,0,15,19:19:16.787924
56365,T,768,0,15,19:19:17.414477
56693,T,768,0,15,19:19:17.742637
57171,T,768,0,15,19:19:18.219939
57439,O,768,0,16,19:19:18.488207
57773,O,768,0,16,19:19:18.822647
57905,O,768,0,16,19:19:18.954888
58038,O,768,0,16,19:19:19.087930
58347,O,768,0,16,19:19:19.396533
59319,S,768,0,17,19:19:20.368704
59551,S,768,0,17,19:19:20.600567
59885,S,768,0,17,19:19:20.934205
60174,S,768,0,17,19:19:21.223184
61000,J,768,0,18,19:19:22.049366
61469,J,768,0,18,19:19:22.518839
61757,J,768,0,18,19:19:22.806796
61912,J,768,0,18,19:19:22.961077
62334,J,768,0,18,19:19:23.383590
63036,J,768,0,18,19:19:24.085442
63257,O,768,0,19,19:19:24.307008
63586,O,768,0,19,19:19:24.635448
63706,O,768,0,19,19:19:24.755215
63829,O,768,0,19,19:19:24.878252
63953,O,768,0,19,19:19:25.002479
64098,O,768,0,19,19:19:25.147331
64280,O,768,0,19,19:19:25.329399
64518,T,768,0,20,19:19:25.567495
64595,T,768,0,20,19:19:25.644169
65124,T,768,0,20,19:19:26.173194
65440,T,768,0,20,19:19:26.489221
66180,T,768,0,20,19:19:27.229587
66376,T,768,0,20,19:19:27.425938
66543,T,768,0,20,19:19:27.593025
66797,T,768,0,20,19:19:27.846280
67011,T,768,0,20,19:19:28.060881
67337,S,768,0,21,19:19:28.386777
67647,S,768,0,21,19:19:28.696416
67822,S,768,0,21,19:19:28.871281
68337,S,768,0,21,19:19:29.386352
68574,O,768,0,22,19:19:29.623533
68761,O,768,0,22,19:19:29.810393
69094,O,768,0,22,19:19:30.143575
69222,O,768,0,22,19:19:30.272167
69341,O,768,0,22,19:19:30.391114
69524,O,768,0,22,19:19:30.573464
69936,I,768,0,23,19:19:30.986050
70205,I,768,0,23,19:19:31.255210
70602,I,768,0,23,19:19:31.651729
70777,I,768,0,23,19:19:31.826443
70973,I,768,0,23,19:19:32.022557
71115,I,768,0,23,19:19:32.164409
71321,I,768,0,23,19:19:32.370783
71414,S,769,10,24,19:19:32.463821
71414,J,769,20,24,19:19:32.463855
71414,T,769,30,24,19:19:32.463884
71690,T,768,0,24,19:19:32.740337
71839,T,768,0,24,19:19:32.889146
72063,T,768,0,24,19:19:33.112629
72418,T,768,0,24,19:19:33.467645
72981,T,768,0,24,19:19:34.030624
73786,Z,768,0,25,19:19:34.836323
73972,Z,768,0,25,19:19:35.022215
74701,Z,768,0,25,19:19:35.750685
75258,Z,768,0,26,19:19:36.308063
75962,Z,768,0,26,19:19:37.012233
76414,Z,768,0,26,19:19:37.464234
76596,Z,768,0,26,19:19:37.645599
76900,Z,768,0,26,19:19:37.949674
77269,O,768,0,27,19:19:38.318929
78003,O,768,0,27,19:19:39.053261
78317,T,768,0,28,19:19:39.367190
78666,T,768,0,28,19:19:39.716274
78862,T,768,0,28,19:19:39.911887
79109,T,768,0,28,19:19:40.158817
79192,T,768,0,28,19:19:40.241840
79393,T,768,0,28,19:19:40.442719
80063,T,768,0,28,19:19:41.113488
80611,L,768,0,29,19:19:41.660949
80819,L,768,0,29,19:19:41.869248
81010,L,768,0,29,19:19:42.060586
81393,L,768,0,29,19:19:42.442752
81988,L,768,0,30,19:19:43.038385
82259,L,768,0,30,19:19:43.309615
82482,L,768,0,30,19:19:43.531802
82688,L,768,0,30,19:19:43.738396
83077,L,768,0,30,19:19:44.127456
83259,L,768,0,30,19:19:44.308713
83315,L,768,0,30,19:19:44.365520
83604,L,768,0,30,19:19:44.654668
83790,L,768,0,30,19:19:44.840337
83978,L,768,0,30,19:19:45.028204
