Time,Block,Action,Score,Block Count,systemtime
0,Z,768,0,0,15:40:30.671713
24931,L,768,0,1,15:40:31.527481
25396,L,768,0,1,15:40:31.992107
25726,L,768,0,1,15:40:32.322175
25899,L,768,0,1,15:40:32.495039
27221,J,768,0,2,15:40:33.817893
28532,S,768,0,3,15:40:35.129066
28824,S,768,0,3,15:40:35.420823
28960,S,768,0,3,15:40:35.556661
29189,S,768,0,3,15:40:35.785741
30194,Z,768,0,4,15:40:36.791114
30829,O,768,0,5,15:40:37.426146
31043,O,768,0,5,15:40:37.640168
31261,O,768,0,5,15:40:37.857659
32449,J,768,0,6,15:40:39.046152
32648,J,768,0,6,15:40:39.245205
32835,J,768,0,6,15:40:39.432002
33212,J,768,0,6,15:40:39.808453
33837,Z,768,0,7,15:40:40.434090
33993,Z,768,0,7,15:40:40.590087
34143,Z,768,0,7,15:40:40.740123
34295,Z,768,0,7,15:40:40.892100
34482,Z,768,0,7,15:40:41.079184
35433,L,768,0,8,15:40:42.029487
35799,L,768,0,8,15:40:42.396286
36156,L,768,0,8,15:40:42.753316
36405,L,768,0,8,15:40:43.001927
36831,L,768,0,8,15:40:43.428236
37940,S,768,0,9,15:40:44.537335
38117,S,768,0,9,15:40:44.713489
38313,S,768,0,9,15:40:44.909736
38403,S,768,0,9,15:40:44.999575
38850,S,768,0,9,15:40:45.447211
39745,L,768,0,10,15:40:46.342282
40015,L,768,0,10,15:40:46.611780
40751,L,768,0,10,15:40:47.347570
40960,L,768,0,10,15:40:47.556951
41083,L,768,0,10,15:40:47.680484
41388,L,768,0,10,15:40:47.985335
41586,L,768,0,10,15:40:48.182746
41732,L,768,0,10,15:40:48.329447
41868,L,768,0,10,15:40:48.464909
42197,L,768,0,10,15:40:48.794497
43084,Z,768,0,11,15:40:49.680976
43860,Z,768,0,11,15:40:50.457548
45513,Z,768,0,11,15:40:52.110174
46726,I,768,0,12,15:40:53.322731
46956,I,768,0,12,15:40:53.552720
47110,I,768,0,12,15:40:53.707661
49409,I,768,0,12,15:40:56.006088
49724,I,768,0,12,15:40:56.321271
50492,S,768,0,13,15:40:57.089480
50762,S,768,0,13,15:40:57.358939
51108,S,768,0,13,15:40:57.705339
51410,S,768,0,13,15:40:58.007549
51699,S,768,0,13,15:40:58.296640
51884,S,768,0,13,15:40:58.481543
52066,S,768,0,13,15:40:58.663378
52183,S,768,0,13,15:40:58.779933
52339,I,769,10,14,15:40:58.936190
52838,Z,768,0,14,15:40:59.435071
53144,Z,768,0,14,15:40:59.740901
53366,Z,768,0,14,15:40:59.963470
