Time,Block,Action,Score,Block Count,systemtime
0,O,768,0,0,19:20:50.574383
23531,I,768,0,1,19:20:51.644442
23793,I,768,0,1,19:20:51.906754
24071,I,768,0,1,19:20:52.184215
24449,I,768,0,1,19:20:52.562877
24912,J,768,0,2,19:20:53.025886
25311,J,768,0,2,19:20:53.424450
25509,J,768,0,2,19:20:53.622834
25691,J,768,0,2,19:20:53.805011
25698,J,768,0,2,19:20:53.811871
26618,I,768,0,3,19:20:54.732164
26802,I,768,0,3,19:20:54.915445
26974,I,768,0,3,19:20:55.087483
27108,I,768,0,3,19:20:55.221563
27483,I,768,0,3,19:20:55.596541
27627,I,768,0,3,19:20:55.740878
27757,I,768,0,3,19:20:55.870870
28000,I,768,0,3,19:20:56.113820
28363,Z,768,0,4,19:20:56.476563
28633,Z,768,0,4,19:20:56.746984
28809,Z,768,0,4,19:20:56.923065
29127,Z,768,0,4,19:20:57.240801
29398,J,768,0,5,19:20:57.511879
29853,J,768,0,5,19:20:57.966634
30091,J,768,0,5,19:20:58.205029
30321,J,768,0,5,19:20:58.434826
30705,J,768,0,5,19:20:58.818916
31120,J,768,0,5,19:20:59.233688
31376,J,768,0,5,19:20:59.490364
31835,O,768,0,6,19:20:59.948811
33441,O,768,0,6,19:21:01.554810
33954,T,768,0,7,19:21:02.067712
34115,T,768,0,7,19:21:02.229336
34285,T,768,0,7,19:21:02.399164
34642,T,768,0,7,19:21:02.755940
34845,T,768,0,7,19:21:02.959033
35163,T,768,0,7,19:21:03.277379
35461,T,768,0,7,19:21:03.575048
35761,T,768,0,7,19:21:03.874761
36203,I,768,0,8,19:21:04.316676
36421,I,768,0,8,19:21:04.535093
37081,I,768,0,8,19:21:05.195123
37243,I,768,0,8,19:21:05.356758
37430,I,768,0,8,19:21:05.543878
38224,I,768,0,8,19:21:06.337714
38570,S,768,0,9,19:21:06.684157
38777,S,768,0,9,19:21:06.891534
39011,S,768,0,9,19:21:07.125348
39266,S,768,0,9,19:21:07.380256
39776,S,768,0,9,19:21:07.890588
40159,T,768,0,10,19:21:08.272689
40373,T,768,0,10,19:21:08.486827
40586,T,768,0,10,19:21:08.699702
40835,T,768,0,10,19:21:08.949147
41043,T,768,0,10,19:21:09.157057
41277,T,768,0,10,19:21:09.391144
41495,T,768,0,10,19:21:09.609523
42033,S,768,0,11,19:21:10.147073
42225,S,768,0,11,19:21:10.339547
42455,S,768,0,11,19:21:10.569063
42626,S,768,0,11,19:21:10.739858
