timestamp,raw_value,attention,label,systemtime
1646882779.0087008,93,51,0,19:26:19.008709
1646882779.0105531,103,51,0,19:26:19.010555
1646882779.01068,73,51,0,19:26:19.010682
1646882779.010779,65,51,0,19:26:19.010780
1646882779.010884,81,51,0,19:26:19.010886
1646882779.010986,93,51,0,19:26:19.010988
1646882779.0110762,104,51,0,19:26:19.011078
1646882779.011144,101,51,0,19:26:19.011145
1646882779.011193,99,51,0,19:26:19.011194
1646882779.011549,100,51,0,19:26:19.011550
1646882779.011584,90,51,0,19:26:19.011585
1646882779.011617,64,51,0,19:26:19.011618
1646882779.011709,40,51,0,19:26:19.011711
1646882779.011778,45,51,0,19:26:19.011779
1646882779.0118248,54,51,0,19:26:19.011826
1646882779.011861,53,51,0,19:26:19.011862
1646882779.0119228,73,51,0,19:26:19.011925
1646882779.01196,109,51,0,19:26:19.011961
1646882779.012279,125,51,0,19:26:19.012280
1646882779.012335,112,51,0,19:26:19.012337
1646882779.012377,104,51,0,19:26:19.012378
1646882779.012985,93,51,0,19:26:19.012986
1646882779.013021,70,51,0,19:26:19.013022
1646882779.013053,53,51,0,19:26:19.013054
1646882779.013085,44,51,0,19:26:19.013086
1646882779.0131211,64,51,0,19:26:19.013122
1646882779.013153,88,51,0,19:26:19.013156
1646882779.0131872,102,51,0,19:26:19.013187
1646882779.0132182,120,51,0,19:26:19.013219
1646882779.016725,132,51,0,19:26:19.016729
1646882779.0179179,135,51,0,19:26:19.017920
1646882779.043115,133,51,0,19:26:19.043118
1646882779.043473,103,51,0,19:26:19.043483
1646882779.046976,52,51,0,19:26:19.046981
1646882779.051135,27,51,0,19:26:19.051140
1646882779.051471,37,51,0,19:26:19.051474
1646882779.0522408,32,51,0,19:26:19.052244
1646882779.055126,-5,51,0,19:26:19.055131
1646882779.055755,-56,51,0,19:26:19.055757
1646882779.056027,-57,51,0,19:26:19.056029
1646882779.05656,-2,51,0,19:26:19.056569
1646882779.05697,72,51,0,19:26:19.056972
1646882779.057339,120,51,0,19:26:19.057350
1646882779.0574741,136,51,0,19:26:19.057476
1646882779.057791,160,51,0,19:26:19.057793
1646882779.0579278,203,51,0,19:26:19.057930
1646882779.0598311,257,51,0,19:26:19.059833
1646882779.05993,295,51,0,19:26:19.059932
1646882779.06064,301,51,0,19:26:19.060642
1646882779.0606909,279,51,0,19:26:19.060691
1646882779.060729,243,51,0,19:26:19.060729
1646882779.060777,241,51,0,19:26:19.060778
1646882779.060878,283,51,0,19:26:19.060880
1646882779.060929,309,51,0,19:26:19.060930
1646882779.061623,308,51,0,19:26:19.061624
1646882779.063089,308,51,0,19:26:19.063091
1646882779.064176,306,51,0,19:26:19.064177
1646882779.0986052,322,51,0,19:26:19.098609
1646882779.098678,356,51,0,19:26:19.098679
1646882779.120488,356,51,0,19:26:19.120499
1646882779.120576,295,51,0,19:26:19.120578
1646882779.136607,236,51,0,19:26:19.136611
1646882779.136698,235,51,0,19:26:19.136700
1646882779.157381,298,51,0,19:26:19.157385
1646882779.157543,349,51,0,19:26:19.157547
1646882779.157602,338,51,0,19:26:19.157603
1646882779.1576362,276,51,0,19:26:19.157637
1646882779.157697,215,51,0,19:26:19.157698
1646882779.157732,193,51,0,19:26:19.157733
1646882779.1579509,200,51,0,19:26:19.157952
1646882779.15813,192,51,0,19:26:19.158131
1646882779.1582,150,51,0,19:26:19.158201
1646882779.1604831,112,51,0,19:26:19.160486
1646882779.160602,97,51,0,19:26:19.160603
1646882779.160639,99,51,0,19:26:19.160640
1646882779.161021,104,51,0,19:26:19.161023
1646882779.1619468,84,51,0,19:26:19.161951
1646882779.1620018,51,51,0,19:26:19.162003
1646882779.1626298,35,51,0,19:26:19.162631
