Time,Block,Action,Score,Block Count,systemtime
0,Z,768,0,0,13:57:01.658306
16217,L,768,0,1,13:57:02.606912
16376,L,768,0,1,13:57:02.765667
16547,L,768,0,1,13:57:02.936328
16818,L,768,0,1,13:57:03.207839
16989,L,768,0,1,13:57:03.378304
17291,L,768,0,1,13:57:03.680877
17542,L,768,0,1,13:57:03.932049
18152,J,768,0,2,13:57:04.541435
18564,J,768,0,2,13:57:04.953985
18937,J,768,0,2,13:57:05.326514
19654,S,768,0,3,13:57:06.043755
20113,S,768,0,3,13:57:06.502519
20436,S,768,0,3,13:57:06.826047
20872,S,768,0,3,13:57:07.262049
21383,S,768,0,3,13:57:07.773351
22056,Z,768,0,4,13:57:08.445602
22330,Z,768,0,4,13:57:08.719935
22786,Z,768,0,4,13:57:09.175779
23196,Z,768,0,4,13:57:09.586329
23440,Z,768,0,4,13:57:09.829792
23883,O,768,0,5,13:57:10.272989
24089,O,768,0,5,13:57:10.479426
24551,O,768,0,5,13:57:10.941046
25359,J,768,0,6,13:57:11.748874
25690,J,768,0,6,13:57:12.080170
25878,J,768,0,6,13:57:12.268450
26170,J,768,0,6,13:57:12.560264
27410,Z,768,0,7,13:57:13.800478
27778,Z,768,0,7,13:57:14.168009
28063,Z,768,0,7,13:57:14.453482
28337,Z,768,0,7,13:57:14.727273
28629,Z,768,0,7,13:57:15.019003
29079,L,768,0,8,13:57:15.469528
30301,L,768,0,8,13:57:16.690798
30954,S,768,0,9,13:57:17.343736
31177,S,768,0,9,13:57:17.566916
31540,S,768,0,9,13:57:17.930351
32441,L,768,0,10,13:57:18.831623
33500,L,768,0,10,13:57:19.890317
34478,Z,768,0,11,13:57:20.868143
34675,Z,768,0,11,13:57:21.065175
35257,Z,768,0,11,13:57:21.647773
35551,Z,768,0,11,13:57:21.941566
35866,Z,768,0,11,13:57:22.256164
36228,Z,768,0,11,13:57:22.618466
36653,Z,768,0,11,13:57:23.043701
37371,I,768,0,12,13:57:23.761011
37534,I,768,0,12,13:57:23.924394
37690,I,768,0,12,13:57:24.080735
38226,I,768,0,12,13:57:24.616595
38397,I,768,0,12,13:57:24.787426
38564,I,768,0,12,13:57:24.954677
38727,I,768,0,12,13:57:25.117268
38894,I,768,0,12,13:57:25.284109
39071,I,768,0,12,13:57:25.461548
39258,I,768,0,12,13:57:25.648852
39560,I,768,0,12,13:57:25.950049
40680,S,768,0,13,13:57:27.070836
41280,S,768,0,13,13:57:27.670367
41830,Z,768,0,14,13:57:28.220790
42017,Z,768,0,14,13:57:28.407517
42317,Z,768,0,14,13:57:28.707808
42696,Z,768,0,14,13:57:29.086243
43198,Z,768,0,14,13:57:29.588332
43567,Z,768,0,14,13:57:29.957076
43889,Z,768,0,14,13:57:30.279676
44052,Z,768,0,14,13:57:30.442784
44218,Z,768,0,14,13:57:30.608764
44379,Z,768,0,14,13:57:30.769399
45265,S,768,0,15,13:57:31.655521
45655,S,768,0,15,13:57:32.045236
46135,S,768,0,15,13:57:32.525642
46411,S,768,0,15,13:57:32.801238
46897,I,768,0,16,13:57:33.287946
47068,I,768,0,16,13:57:33.458896
47239,I,768,0,16,13:57:33.630085
47425,I,768,0,16,13:57:33.815733
47773,I,768,0,16,13:57:34.163581
48574,S,768,0,17,13:57:34.964664
48841,S,768,0,17,13:57:35.231446
49150,S,768,0,17,13:57:35.541208
49372,S,768,0,17,13:57:35.762303
49850,T,768,0,18,13:57:36.240777
50016,T,768,0,18,13:57:36.406483
50229,T,768,0,18,13:57:36.619334
50383,T,768,0,18,13:57:36.774097
51128,T,768,0,18,13:57:37.518882
51736,T,768,0,18,13:57:38.126987
52747,J,768,0,19,13:57:39.137448
52923,J,768,0,19,13:57:39.313527
