Time,Block,Action,Score,Block Count,systemtime
0,T,768,0,0,19:01:07.668384
14462,O,768,0,1,19:01:09.253629
14639,O,768,0,1,19:01:09.430418
14783,O,768,0,1,19:01:09.574876
15024,O,768,0,1,19:01:09.815751
15375,O,768,0,1,19:01:10.166415
16486,L,768,0,2,19:01:11.277350
16706,L,768,0,2,19:01:11.497496
16884,L,768,0,2,19:01:11.675682
17194,L,768,0,2,19:01:11.985454
18064,L,768,0,2,19:01:12.855385
18799,S,768,0,3,19:01:13.591269
18997,S,768,0,3,19:01:13.788682
19153,S,768,0,3,19:01:13.945087
19330,S,768,0,3,19:01:14.121584
19500,S,768,0,3,19:01:14.291780
19757,S,768,0,3,19:01:14.548511
20491,S,768,0,4,19:01:15.282863
20686,S,768,0,4,19:01:15.478196
21289,S,768,0,4,19:01:16.081061
21466,S,768,0,4,19:01:16.257520
21664,S,768,0,4,19:01:16.455536
21911,S,768,0,4,19:01:16.702946
22217,S,768,0,4,19:01:17.008670
22405,S,768,0,4,19:01:17.197196
22578,S,768,0,4,19:01:17.369637
22844,S,768,0,4,19:01:17.636110
23676,I,768,0,5,19:01:18.468238
24130,I,768,0,5,19:01:18.921554
24563,I,768,0,5,19:01:19.355159
25962,I,768,0,5,19:01:20.754513
26247,I,768,0,5,19:01:21.038634
26577,I,768,0,5,19:01:21.368752
27381,Z,768,0,6,19:01:22.173139
27737,Z,768,0,6,19:01:22.529004
27963,Z,768,0,6,19:01:22.755322
28159,Z,768,0,6,19:01:22.951232
28327,Z,768,0,6,19:01:23.119268
28763,Z,768,0,6,19:01:23.555344
29259,J,768,0,7,19:01:24.050735
29701,J,768,0,7,19:01:24.493667
29922,J,768,0,7,19:01:24.714264
30703,J,768,0,7,19:01:25.495349
30791,I,771,10,8,19:01:25.583426
32312,I,768,0,8,19:01:27.104709
32491,I,768,0,8,19:01:27.282780
32938,I,768,0,8,19:01:27.730355
33112,I,768,0,8,19:01:27.904453
33263,I,768,0,8,19:01:28.055192
33419,I,768,0,8,19:01:28.211260
33641,I,768,0,8,19:01:28.433356
34331,O,768,0,9,19:01:29.123438
35080,O,768,0,9,19:01:29.872522
35290,O,769,10,10,19:01:30.082626
36347,O,768,0,10,19:01:31.139517
37290,O,768,0,10,19:01:32.081993
39363,O,768,0,11,19:01:34.155899
41069,Z,768,0,12,19:01:35.861957
41754,Z,768,0,12,19:01:36.546770
42408,Z,768,0,12,19:01:37.200646
44389,S,768,0,13,19:01:39.181204
44591,S,768,0,13,19:01:39.383794
44747,S,768,0,13,19:01:39.539378
44868,S,768,0,13,19:01:39.660566
45141,S,768,0,13,19:01:39.933844
45432,S,768,0,13,19:01:40.224293
46316,Z,768,0,14,19:01:41.108280
46575,Z,768,0,14,19:01:41.367805
48210,Z,768,0,14,19:01:43.002974
48727,Z,768,0,14,19:01:43.519672
49667,L,768,0,15,19:01:44.459553
49901,L,768,0,15,19:01:44.693822
50079,L,768,0,15,19:01:44.872093
50999,L,768,0,15,19:01:45.791357
51163,J,769,10,16,19:01:45.955412
52150,Z,768,0,16,19:01:46.943080
52435,Z,768,0,16,19:01:47.227488
52731,Z,768,0,16,19:01:47.524026
53047,Z,768,0,16,19:01:47.839420
53270,Z,768,0,16,19:01:48.062818
54295,Z,768,0,16,19:01:49.087860
54976,S,768,0,17,19:01:49.768555
55222,S,768,0,17,19:01:50.014593
56180,S,768,0,17,19:01:50.972930
57100,S,768,0,17,19:01:51.893468
57910,T,768,0,18,19:01:52.702962
58063,T,768,0,18,19:01:52.855942
58214,T,768,0,18,19:01:53.007464
58435,T,768,0,18,19:01:53.228380
58610,T,768,0,18,19:01:53.403203
58883,T,768,0,18,19:01:53.676366
59059,T,768,0,18,19:01:53.851651
59421,T,768,0,18,19:01:54.213684
59588,J,769,10,19,19:01:54.381024
59979,T,768,0,19,19:01:54.771856
60182,T,768,0,19,19:01:54.975436
60325,T,768,0,19,19:01:55.118559
60518,T,768,0,19,19:01:55.311402
60591,T,768,0,19,19:01:55.383822
60768,T,768,0,19,19:01:55.560883
61247,T,768,0,19,19:01:56.039652
62136,J,768,0,20,19:01:56.929408
62353,J,768,0,20,19:01:57.145866
62815,J,768,0,20,19:01:57.608302
62997,J,768,0,20,19:01:57.790546
63157,J,768,0,20,19:01:57.950269
63399,J,768,0,20,19:01:58.192092
65590,S,768,0,21,19:02:00.382977
65752,T,769,10,22,19:02:00.545321
66923,I,768,0,22,19:02:01.716281
67070,I,768,0,22,19:02:01.863238
67246,I,768,0,22,19:02:02.039395
67446,I,768,0,22,19:02:02.238986
67613,I,768,0,22,19:02:02.406060
67869,I,768,0,22,19:02:02.662562
68289,I,768,0,23,19:02:03.082637
68508,I,768,0,23,19:02:03.301754
68685,I,768,0,23,19:02:03.478145
69275,I,768,0,23,19:02:04.067869
69857,O,768,0,24,19:02:04.650841
70630,O,768,0,24,19:02:05.423849
70689,Z,771,10,25,19:02:05.482251
71696,O,768,0,25,19:02:06.489720
71879,O,768,0,25,19:02:06.672536
72213,END,999,0,25,19:02:07.006477
