timestamp,raw_value,attention,label,systemtime
1646518135.131457,33,51,0,14:08:55.131464
1646518135.133186,4,51,0,14:08:55.133189
1646518135.134511,-29,51,0,14:08:55.134513
1646518135.135757,9,51,0,14:08:55.135765
1646518135.13834,70,51,0,14:08:55.138344
1646518135.1394079,55,51,0,14:08:55.139411
1646518135.1418931,-9,51,0,14:08:55.141897
1646518135.1446662,-26,51,0,14:08:55.144670
1646518135.145591,23,51,0,14:08:55.145594
1646518135.148132,39,51,0,14:08:55.148135
1646518135.1493702,-6,51,0,14:08:55.149372
1646518135.152498,-12,51,0,14:08:55.152504
1646518135.1547468,42,51,0,14:08:55.154750
1646518135.1570508,66,51,0,14:08:55.157056
1646518135.162134,19,51,0,14:08:55.162139
1646518135.1624188,-23,51,0,14:08:55.162421
1646518135.16282,4,51,0,14:08:55.162823
1646518135.163548,56,51,0,14:08:55.163550
1646518135.165717,34,51,0,14:08:55.165723
1646518135.169064,-20,51,0,14:08:55.169069
1646518135.172193,-6,51,0,14:08:55.172197
1646518135.1724958,54,51,0,14:08:55.172498
1646518135.175353,58,51,0,14:08:55.175357
1646518135.175955,8,51,0,14:08:55.175958
1646518135.1797261,-8,51,0,14:08:55.179730
1646518135.179905,40,51,0,14:08:55.179907
1646518135.180843,72,51,0,14:08:55.180847
1646518135.183211,52,51,0,14:08:55.183215
1646518135.195742,61,51,0,14:08:55.195746
1646518135.2125702,116,51,0,14:08:55.212574
1646518135.2394822,120,51,0,14:08:55.239486
1646518135.245555,44,51,0,14:08:55.245561
1646518135.262016,-8,51,0,14:08:55.262022
1646518135.272712,38,51,0,14:08:55.272715
1646518135.272845,121,51,0,14:08:55.272846
1646518135.273217,104,51,0,14:08:55.273219
1646518135.275054,43,51,0,14:08:55.275056
1646518135.2751071,44,51,0,14:08:55.275108
1646518135.2755232,92,51,0,14:08:55.275524
1646518135.2762501,96,51,0,14:08:55.276252
1646518135.277365,26,51,0,14:08:55.277369
1646518135.277727,-12,51,0,14:08:55.277729
1646518135.2777689,23,51,0,14:08:55.277769
1646518135.2781188,40,51,0,14:08:55.278120
1646518135.278271,6,51,0,14:08:55.278272
1646518135.278307,9,51,0,14:08:55.278308
1646518135.278881,60,51,0,14:08:55.278883
1646518135.279511,84,51,0,14:08:55.279513
1646518135.279551,48,51,0,14:08:55.279552
1646518135.2796228,-3,51,0,14:08:55.279623
1646518135.27976,4,51,0,14:08:55.279761
1646518135.279847,48,51,0,14:08:55.279848
1646518135.279881,35,51,0,14:08:55.279882
1646518135.28002,-3,51,0,14:08:55.280021
1646518135.2808619,23,51,0,14:08:55.280863
1646518135.28112,98,51,0,14:08:55.281121
1646518135.2814488,112,51,0,14:08:55.281449
1646518135.281543,39,51,0,14:08:55.281544
1646518135.281578,-8,51,0,14:08:55.281579
1646518135.282221,26,51,0,14:08:55.282222
1646518135.282698,43,51,0,14:08:55.282699
1646518135.283287,-4,51,0,14:08:55.283288
1646518135.283653,-23,51,0,14:08:55.283654
1646518135.28404,35,51,0,14:08:55.284041
1646518135.284394,85,51,0,14:08:55.284397
1646518135.2847989,50,51,0,14:08:55.284800
1646518135.285416,-8,51,0,14:08:55.285417
1646518135.285491,-3,51,0,14:08:55.285492
1646518135.285527,56,51,0,14:08:55.285528
1646518135.2855601,68,51,0,14:08:55.285560
1646518135.286358,29,51,0,14:08:55.286359
1646518135.286411,40,51,0,14:08:55.286412
1646518135.2867599,90,51,0,14:08:55.286762
1646518135.286844,88,51,0,14:08:55.286846
1646518135.286881,24,51,0,14:08:55.286881
1646518135.286913,-6,51,0,14:08:55.286914
1646518135.286944,57,51,0,14:08:55.286948
1646518135.286984,123,51,0,14:08:55.286985
1646518135.287015,118,51,0,14:08:55.287016
1646518135.287046,98,51,0,14:08:55.287047
1646518135.2870772,123,51,0,14:08:55.287077
1646518135.288127,137,51,0,14:08:55.288129
1646518135.290664,88,51,0,14:08:55.290666
1646518135.291904,18,51,0,14:08:55.291905
1646518135.29441,23,51,0,14:08:55.294414
1646518135.2969332,92,51,0,14:08:55.296936
1646518135.2981582,91,51,0,14:08:55.298161
1646518135.3007302,42,51,0,14:08:55.300734
1646518135.302208,38,51,0,14:08:55.302212
1646518135.304553,86,51,0,14:08:55.304557
1646518135.3057191,112,51,0,14:08:55.305723
1646518135.30817,74,51,0,14:08:55.308174
1646518135.331964,42,51,0,14:08:55.331971
1646518135.333218,76,51,0,14:08:55.333222
1646518135.3357341,99,51,0,14:08:55.335739
1646518135.3391008,38,51,0,14:08:55.339109
1646518135.339154,1,51,0,14:08:55.339155
1646518135.3392131,53,51,0,14:08:55.339215
1646518135.339246,107,51,0,14:08:55.339247
1646518135.339282,74,51,0,14:08:55.339283
1646518135.3393412,-4,51,0,14:08:55.339342
1646518135.339377,-27,51,0,14:08:55.339377
1646518135.339421,12,51,0,14:08:55.339422
1646518135.339547,22,51,0,14:08:55.339549
1646518135.339676,2,51,0,14:08:55.339678
1646518135.339932,29,51,0,14:08:55.339934
1646518135.340621,90,51,0,14:08:55.340623
1646518135.341933,86,51,0,14:08:55.341936
1646518135.344437,16,51,0,14:08:55.344445
1646518135.345721,-33,51,0,14:08:55.345725
1646518135.3469598,9,51,0,14:08:55.346963
1646518135.348157,66,51,0,14:08:55.348160
1646518135.350728,40,51,0,14:08:55.350732
1646518135.351985,2,51,0,14:08:55.351988
1646518135.353195,19,51,0,14:08:55.353199
1646518135.354361,43,51,0,14:08:55.354363
1646518135.356929,17,51,0,14:08:55.356936
1646518135.359492,-37,51,0,14:08:55.359497
1646518135.360663,-35,51,0,14:08:55.360669
1646518135.363231,27,51,0,14:08:55.363236
1646518135.3644102,29,51,0,14:08:55.364413
1646518135.4106739,-27,51,0,14:08:55.410679
1646518135.411904,-49,51,0,14:08:55.411915
1646518135.413239,4,51,0,14:08:55.413244
1646518135.4145012,35,51,0,14:08:55.414513
1646518135.418153,4,51,0,14:08:55.418158
1646518135.4182,-39,51,0,14:08:55.418201
1646518135.4182348,-23,51,0,14:08:55.418236
1646518135.418269,12,51,0,14:08:55.418273
1646518135.418307,-5,51,0,14:08:55.418308
1646518135.418345,-37,51,0,14:08:55.418345
