Time,Block,Action,Score,Block Count,systemtime
81370,L,768,0,26,15:45:18.593658
81710,L,768,0,26,15:45:18.933858
82152,L,768,0,26,15:45:19.375805
82983,O,768,0,27,15:45:20.206622
83249,O,768,0,27,15:45:20.472496
83394,O,768,0,27,15:45:20.618158
83546,O,768,0,27,15:45:20.769688
83677,O,768,0,27,15:45:20.900889
83821,O,768,0,27,15:45:21.045184
83979,O,768,0,27,15:45:21.202400
84240,O,768,0,27,15:45:21.463528
84677,Z,768,0,28,15:45:21.900873
84825,Z,768,0,28,15:45:22.048575
84977,Z,768,0,28,15:45:22.200546
85237,Z,768,0,28,15:45:22.460558
85394,Z,768,0,28,15:45:22.617777
85675,Z,768,0,28,15:45:22.899031
85785,O,769,10,29,15:45:23.008898
86324,O,768,0,29,15:45:23.548107
86499,O,768,0,29,15:45:23.722679
86718,O,768,0,29,15:45:23.941535
86863,O,768,0,29,15:45:24.087191
86994,O,768,0,29,15:45:24.217840
87172,O,768,0,29,15:45:24.395358
87726,I,768,0,30,15:45:24.950288
87877,I,768,0,30,15:45:25.100506
88048,I,768,0,30,15:45:25.272283
88290,I,768,0,30,15:45:25.514162
88421,O,769,10,31,15:45:25.644768
88421,Z,769,20,31,15:45:25.644803
88747,L,768,0,31,15:45:25.971152
88780,END,999,0,31,15:45:26.004021
